tittle , url , addr1 , addr2 , number of post , rating value , category , price 
rangeBarrio Bread , https://www.yelp.com/biz/barrio-bread-tucson-2 , 18 S Eastbourne Ave , Tucson , 156 , 5 , Bakeries , $$
Tumerico Vegetarian Food , https://www.yelp.com/biz/tumerico-tucson , 2526 E 6th St , Tucson , 450 , 5 , Vegan , $$
Barista Del Barrio , https://www.yelp.com/biz/barista-del-barrio-tucson-2 , 1002 N Grande Ave , Tucson , 187 , 5 , Breakfast &amp; Brunch , $
Urban Fresh , https://www.yelp.com/biz/urban-fresh-tucson , 73 E Pennington St , Tucson , 166 , 5 , Vegan , $
The Quesadillas , https://www.yelp.com/biz/the-quesadillas-tucson , 2418 N Craycroft Rd , Tucson , 425 , 4 , Mexican , $
Tucson Mall , https://www.yelp.com/biz/pistacchio-tucson , 4500 N Oracle Rd , Tucson , 282 , 4 , Desserts , $
Baja Cafe , https://www.yelp.com/biz/baja-cafe-tucson-2 , 7002 E Broadway Blvd , Tucson , 890 , 4 , Breakfast &amp; Brunch , $$
Blue Ice Gelato , https://www.yelp.com/biz/blue-ice-gelato-tucson , 6878 E Sunrise Dr , Tucson , 102 , 5 , Coffee &amp; Tea , $
Salsa Verde Restaurant , https://www.yelp.com/biz/salsa-verde-restaurant-tucson , 210 N Pantano Rd , Tucson , 211 , 4 , Mexican , $$
Baja Cafe on Campbell , https://www.yelp.com/biz/baja-cafe-on-campbell-tucson , 2970 N Campbell Ave , Tucson , 586 , 4 , Breakfast &amp; Brunch , $$
Yellow Brick Coffee , https://www.yelp.com/biz/yellow-brick-coffee-tucson , 3220 S Dodge Blvd , Tucson , 91 , 5 , Coffee &amp; Tea , $$
Coffee Times Drive , https://www.yelp.com/biz/coffee-times-drive-tucson , 3401 E Speedway Blvd , Tucson , 159 , 4 , Coffee &amp; Tea , $
Pima Air &amp; Space Museum , https://www.yelp.com/biz/pima-air-and-space-museum-tucson , 6000 E Valencia Rd , Tucson , 295 , 4 , Museums , 
Roma Imports , https://www.yelp.com/biz/roma-imports-tucson , 627 S Vine Ave , Tucson , 299 , 4 , Italian , $
Crave Coffee Bar , https://www.yelp.com/biz/crave-coffee-bar-tucson , 4530 E Broadway , Tucson , 382 , 4 , Coffee &amp; Tea , $$
The Little One , https://www.yelp.com/biz/the-little-one-tucson , 151 N Stone Ave , Tucson , 309 , 4 , Latin American , $
The Scented Leaf , https://www.yelp.com/biz/the-scented-leaf-tucson-2 , 943 E University Blvd , Tucson , 163 , 4 , Coffee &amp; Tea , $
Prep &amp; Pastry , https://www.yelp.com/biz/prep-and-pastry-tucson-7 , 2660 N Campbell Ave , Tucson , 1839 , 4 , Breakfast &amp; Brunch , $$
Pizza Luna , https://www.yelp.com/biz/pizza-luna-tucson , 1101 N Wilmot Rd , Tucson , 141 , 4 , Pizza , $$
Sabino Canyon , https://www.yelp.com/biz/sabino-canyon-tucson ,  , Tucson , 234 , 4 , Parks , 
Queen Sheba , https://www.yelp.com/biz/queen-sheba-tucson , 5553 E Grant Rd , Tucson , 147 , 4 , African , $
Chef Alisah’s Restaurant , https://www.yelp.com/biz/chef-alisahs-restaurant-tucson-3 , 5931 N Oracle Rd , Tucson , 419 , 4 , Mediterranean , $$
Cocteleria La Palma Mariscos Y Mas , https://www.yelp.com/biz/cocteleria-la-palma-mariscos-y-mas-tucson , 22ND St And 6th Ave , Tucson , 37 , 5 , Seafood , $
Aqui Con El Nene , https://www.yelp.com/biz/aqui-con-el-nene-tucson , 4415 N Flowing Wells Rd , Tucson , 248 , 4 , Mexican , $
Anello , https://www.yelp.com/biz/anello-tucson , 222 E 6th St , Tucson , 95 , 4 , Pizza , $$
Tito &amp; Pep , https://www.yelp.com/biz/tito-and-pep-tucson-2 , 4122 E Speedway Blvd , Tucson , 277 , 4 , American (New) , $$
Rollies Mexican Patio , https://www.yelp.com/biz/rollies-mexican-patio-tucson-3 , 4573 S 12th Ave , Tucson , 226 , 4 , Mexican , $
Smokey Mo , https://www.yelp.com/biz/smokey-mo-tucson , 2650 N 1st Ave , Tucson , 254 , 4 , Barbeque , $$
The Tasteful Kitchen , https://www.yelp.com/biz/the-tasteful-kitchen-tucson , 722 N Stone Ave , Tucson , 191 , 4 , Vegetarian , $$
Sausage Shop Meat Market and Deli , https://www.yelp.com/biz/sausage-shop-meat-market-and-deli-tucson , 1015 W Prince Rd , Tucson , 178 , 4 , Sandwiches , $
Seis Kitchen , https://www.yelp.com/biz/seis-kitchen-tucson-3 , 130 S Avenida Del Convento , Tucson , 442 , 4 , Mexican , $$
Baja Cafe On Ina , https://www.yelp.com/biz/baja-cafe-on-ina-tucson , 3930 W Ina Rd , Tucson , 273 , 4 , Breakfast &amp; Brunch , $$
O Sushi Restaurant , https://www.yelp.com/biz/o-sushi-restaurant-tucson , 4689 E Speedway Blvd , Tucson , 162 , 4 , Sushi Bars , $$
Serial Grillers , https://www.yelp.com/biz/serial-grillers-tucson-4 , 5975 E Speedway Blvd , Tucson , 869 , 4 , Pizza , $$
Holy Smokin Butts BBQ , https://www.yelp.com/biz/holy-smokin-butts-bbq-tucson , 6940 E Broadway Blvd , Tucson , 279 , 4 , Barbeque , $$
Scott &amp; Co , https://www.yelp.com/biz/scott-and-co-tucson-2 , 49 N Scott Ave , Tucson , 181 , 4 , Bars , $$
The Screamery HandCrafted Ice Cream , https://www.yelp.com/biz/the-screamery-handcrafted-ice-cream-tucson-3 , 250 E Congress St , Tucson , 142 , 4 , Ice Cream &amp; Frozen Yogurt , $
Bagel Joint , https://www.yelp.com/biz/bagel-joint-tucson , 7315 N Oracle Rd , Tucson , 122 , 4 , Bagels , $
Asian Spice , https://www.yelp.com/biz/asian-spice-tucson , 7850 N Silverbell Rd , Tucson , 243 , 4 , Chinese , $$
Renee’s Organic Oven , https://www.yelp.com/biz/renees-organic-oven-tucson , 7065 E Tanque Verde Rd , Tucson , 570 , 4 , Locally sourced ingredients , $$
The Parish , https://www.yelp.com/biz/the-parish-tucson , 6453 N Oracle Rd , Tucson , 881 , 4 , Gastropubs , $$
D’s Island Grill JA , https://www.yelp.com/biz/ds-island-grill-ja-tucson-2 , 3156 E Fort Lowell Rd , Tucson , 205 , 4 , Catering service , $$
Tumamoc Hill , https://www.yelp.com/biz/tumamoc-hill-tucson , W Anklam Rd &amp;amp; Tumamoc Hill Rd , Tucson , 115 , 4 , Hiking , 
Bobo’s Restaurant , https://www.yelp.com/biz/bobos-restaurant-tucson-3 , 2938 E Grant Rd , Tucson , 664 , 4 , Breakfast &amp; Brunch , $
Fiamme Pizza , https://www.yelp.com/biz/fiamme-pizza-tucson , 4706 E Sunrise Dr , Tucson , 252 , 4 , Pizza , $$
Prep &amp; Pastry on Grant , https://www.yelp.com/biz/prep-and-pastry-on-grant-tucson , 6450 E Grant Rd , Tucson , 516 , 4 , American (New) , $$
Cafe A La Cart , https://www.yelp.com/biz/cafe-a-la-cart-tucson-6 , 150 N Main Ave , Tucson , 311 , 4 , American (New) , $$
Tucson Coffee Roasters , https://www.yelp.com/biz/tucson-coffee-roasters-tucson , 3225 N Swan , Tucson , 120 , 4 , Coffee Roasteries , $
Indian Twist , https://www.yelp.com/biz/indian-twist-tucson , 4660 E Camp Lowell Dr , Tucson , 221 , 4 , Indian , $$
Frost Gelato , https://www.yelp.com/biz/frost-gelato-tucson , 7301 E Tanque Verde Rd , Tucson , 215 , 4 , Gelato , $
Zemam’s , https://www.yelp.com/biz/zemams-tucson , 2731 E Broadway Blvd , Tucson , 315 , 4 , Ethiopian , $$
Street Taco and Beer Co , https://www.yelp.com/biz/street-taco-and-beer-co-tucson , 58 W Congress St , Tucson , 688 , 4 , Mexican , $
Ginza Sushi , https://www.yelp.com/biz/ginza-sushi-tucson-2 , 5425 N Kolb Rd , Tucson , 225 , 4 , Sushi Bars , $$
Tap &amp; Bottle , https://www.yelp.com/biz/tap-and-bottle-tucson , 403 N 6th Ave , Tucson , 247 , 4 , Pubs , $$
The Screamery HandCrafted Ice Cream , https://www.yelp.com/biz/the-screamery-handcrafted-ice-cream-tucson-3 , 250 E Congress St , Tucson , 142 , 4 , Ice Cream &amp; Frozen Yogurt , $ , https://www.yelp.com/biz/the-screamery-handcrafted-ice-cream-tucson-2 , 2545 E Speedway Blvd , Tucson , 170 , 4 , Ice Cream &amp; Frozen Yogurt , $
Fleming’s Prime Steakhouse &amp; Wine Bar - Tucson , https://www.yelp.com/biz/flemings-prime-steakhouse-and-wine-bar-tucson-tucson , 6360 N Campbell Ave , Tucson , 378 , 4 , Steakhouses , $$$
The Screamery HandCrafted Ice Cream , https://www.yelp.com/biz/the-screamery-handcrafted-ice-cream-tucson-3 , 250 E Congress St , Tucson , 142 , 4 , Ice Cream &amp; Frozen Yogurt , $ , https://www.yelp.com/biz/the-screamery-handcrafted-ice-cream-tucson-2 , 2545 E Speedway Blvd , Tucson , 170 , 4 , Ice Cream &amp; Frozen Yogurt , $ , https://www.yelp.com/biz/the-screamery-handcrafted-ice-cream-tucson , 50 S Houghton Rd , Tucson , 153 , 4 , Ice Cream &amp; Frozen Yogurt , $$
Zayna Mediterranean , https://www.yelp.com/biz/zayna-mediterranean-tucson-2 , 1138 North Belvedere , Tucson , 529 , 4 , Mediterranean , $$
La Estrella Bakery , https://www.yelp.com/biz/la-estrella-bakery-tucson-2 , 120 S Avenida Del Convento , Tucson , 103 , 4 , Bakeries , $
Nothing Bundt Cakes , https://www.yelp.com/biz/nothing-bundt-cakes-tucson-3 , 5420 E Broadway Blvd , Tucson , 41 , 5 , Desserts , 
All Souls Procession , https://www.yelp.com/biz/all-souls-procession-tucson , PO Box 15 , Tucson , 33 , 5 , Local Flavor , 
Cafe Desta , https://www.yelp.com/biz/cafe-desta-tucson , 758 S Stone Ave , Tucson , 250 , 4 , Coffee &amp; Tea , $$
Los Olivos , https://www.yelp.com/biz/los-olivos-tucson , 937 W Congress St , Tucson , 143 , 4 , Pizza , $
